date,eod_sammy,eod_og,eod_grilled,eod_tenders,eod_thaw,eod_boxed,del_dark,del_tenders,prep_sammy,prep_og,prep_grilled,prep_tenders,waste_sammy,waste_og,waste_grilled,waste_tenders,oil_fries,oil_left,oil_right,logged_by,id
2025-08-15,5,3.25,1.25,11.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,3b94ece2dfd14mig
2025-08-16,3.5,3,1,9,,,,,,,,,,,,,FALSE,FALSE,FALSE,,07d2f14521484mig
2025-08-17,2.25,2.5,4,6.75,,,,,,,,,,,,,FALSE,FALSE,FALSE,,7f5507d71a104mig
2025-08-18,1.75,3,3.33,6,,,,,,,,,,,,,FALSE,FALSE,FALSE,,936b2a6e749b4mig
2025-08-19,6.5,4,3,5,,,130,88,6,2,,,,,,,FALSE,FALSE,FALSE,,76a4f0df8b8f4mig
2025-08-20,6,4,1.1,8.25,,,,,,,,,,,,,TRUE,FALSE,FALSE,,6876658cb5a24mig
2025-08-21,7.5,5,2,13.5,,,80,99,2.75,2,,10.5,,,,,FALSE,TRUE,FALSE,,1c2ae2faf8fd4mig
2025-08-22,4.5,5.25,1,11.25,,,,,,,,,,,,,FALSE,FALSE,TRUE,,3dc6172fbb6e4mig
2025-08-23,4,5,0.25,10,,,,,,,,,,,,,FALSE,FALSE,FALSE,,40620c535e854mig
2025-08-24,3,3.5,3.25,8.75,,,,,,,3,,,,,,FALSE,FALSE,FALSE,,2c98011bb6234mig
2025-08-25,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,06ff2ef238984mig
2025-08-26,5,3.5,2.1,10,,,80,60,4,1,,4,,,,,FALSE,FALSE,FALSE,,a45ccc7c450a4mig
2025-08-27,4,3.25,1.8,9,,,,,,,,,,,,,TRUE,FALSE,FALSE,,9d31482f9dd74mig
2025-08-28,10,2.5,1.25,14,,,120,99,6,1,,6,,,,,FALSE,FALSE,FALSE,,1cdde427c5344mig
2025-08-29,9,1.5,5,12,,,,,,,,,,,,,FALSE,FALSE,FALSE,,48aa1e73f96e4mig
2025-08-30,6,1,4.5,11,,,,,,,,,,,,,FALSE,TRUE,FALSE,,6d232813a5174mig
2025-08-31,5.25,0.5,4.5,8,,,,,,,,,,,,,FALSE,FALSE,TRUE,,ed2692ad4f274mig
2025-09-01,4,0.5,4,7,,,,,,,,,,,,,FALSE,FALSE,FALSE,,a6d7770f33664mig
2025-09-02,7,1.25,5,10.15,,,75,55,3.5,0.8,,3.8,,,,,FALSE,FALSE,FALSE,,3a0dfdfe251a4mig
2025-09-03,6.5,1.25,3,10,,,,,,,,,,,,,TRUE,FALSE,FALSE,,0bbc53b3d13f4mig
2025-09-04,,,,,,,119,55,5,2,,4,,,,,FALSE,FALSE,FALSE,,2789e67bcf9f4mig
2025-09-05,8.5,2.5,2.5,13,,,,,,,,,,,,,FALSE,FALSE,FALSE,,020fdd93ac1f4mig
2025-09-06,6.5,2.25,1.75,11.25,,,,,,,,,0.35,,,,FALSE,FALSE,FALSE,,9904c76f30b14mig
2025-09-07,5.75,2,1.25,9.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,2135dd4583b34mig
2025-09-08,3.75,1.75,1.05,9,,,,,,,,,,,,,FALSE,TRUE,FALSE,,5b93e1a0075f4mig
2025-09-09,,,,,,,,,2,0.2,,,,,,,FALSE,FALSE,TRUE,,5d3859073b214mig
2025-09-10,4,1.5,4.25,5.25,,,,,,,4,,,,,,FALSE,FALSE,FALSE,,e0a1ec6723c34mig
2025-09-11,9,2.5,4.05,11,,,,,6,1,,7,,,,,TRUE,FALSE,FALSE,,c0b3ad4023e74mig
2025-09-12,7.25,1.5,3,9,,,,,,,,,,,,,FALSE,FALSE,FALSE,,3dc9c95f204f4mig
2025-09-13,6,1,2.05,8.25,,,,,,,,,,,,,FALSE,FALSE,FALSE,,2ea4b4127c3f4mig
2025-09-14,4.15,0,2.75,6.25,,,,,,,,,,,,,FALSE,FALSE,FALSE,,12eeb4a56c2c4mig
2025-09-15,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,4a47e075815e4mig
2025-09-16,6.25,1,3.15,10.25,,,,,3.9,1,,6,,,,,FALSE,FALSE,TRUE,,b6e5342b31a64mig
2025-09-17,5,1,2,9,,,,,,,,,,,,,FALSE,FALSE,FALSE,,6357accc69084mig
2025-09-18,10,2.2,2,12.15,,,,,6.5,1.2,,4,,,,,FALSE,TRUE,FALSE,,0f42f3851ab24mig
2025-09-19,8.5,2.25,4.5,10,,,,,,,,,,1,,,FALSE,FALSE,FALSE,,20b51fabee604mig
2025-09-20,6.25,2.25,3.05,7.25,,,,,,,,,,,,,TRUE,FALSE,FALSE,,76d268d99fc94mig
2025-09-21,5,2,4,5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,1c2065be01d34mig
2025-09-22,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,df13a20854ab4mig
2025-09-23,4.75,2.75,2.5,10.25,,,,,1.5,1,,6,,,,,FALSE,FALSE,FALSE,,933508758bcf4mig
2025-09-24,4,2.75,2,7.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,ca2cd18da2624mig
2025-09-25,8.5,4.5,2.25,10.25,,,129,55,6,2,,4,,,,,FALSE,FALSE,TRUE,,b3eda639adc94mig
2025-09-26,7.25,4,1.25,9.25,,,,,,,,,,,,,TRUE,FALSE,FALSE,,eff36e2cde194mig
2025-09-27,5.5,3.5,6,4,,,,,,,,,,,,,FALSE,TRUE,FALSE,,661bb4ce714b4mig
2025-09-28,4,2.5,4,2,,,,,,,,,,,,,FALSE,FALSE,FALSE,,a38d229e38d24mig
2025-09-29,3.5,2.05,4,3.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,e6f6c1dccf334mig
2025-09-30,6.5,2.5,6.5,11.25,,,,,3.5,0.5,,10,,0.1,,,FALSE,FALSE,FALSE,,79cfe59f8bf24mig
2025-10-01,4.5,1.75,4.75,10.8,,,,,,,,,,,,,FALSE,FALSE,FALSE,,57cc19db953c4mig
2025-10-02,10,2.25,4.5,14,,,,,,6,1,,4,,0.25,,FALSE,FALSE,FALSE,,931d8a86f4ad4mig
2025-10-03,9.5,2.25,4.25,11,,,,,,,,,,,,,FALSE,FALSE,FALSE,,2a6fd5bcf88d4mig
2025-10-04,6.25,1.25,4.2,10.5,,,,,,,,,,,,,FALSE,TRUE,FALSE,,3ae12ed257b24mig
2025-10-05,5,1,4,8.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,7c784450293b4mig
2025-10-06,4.5,1,4,7.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,35538160cc454mig
2025-10-07,7,2,3.25,11.25,,,,,,3.3,0.9,,4,,,,FALSE,FALSE,TRUE,,e3ae6b605a814mig
2025-10-08,5.5,1.25,5.25,10,,,,,,,,,,,,,FALSE,FALSE,FALSE,,57ff13cb14964mig
2025-10-09,10.5,2,3,12,,,,115,55,6,1,,4,,,,FALSE,FALSE,FALSE,,255dd9ad634a4mig
2025-10-10,9,2,3,11,,,,,,,,,,,,,FALSE,FALSE,FALSE,,5fba0b8a42be4mig
2025-10-11,7.1,1.05,2.5,9.85,,,,,,,,,,,,,FALSE,TRUE,FALSE,,a7ec948b33d34mig
2025-10-12,6.5,1,,8.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,da20b32dfff94mig
2025-10-13,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,d7b9f597dbe04mig
2025-10-14,8,1.75,0.45,10.65,,,,55,55,,,,,,,,FALSE,FALSE,FALSE,,af66522193484mig
2025-10-15,7,1.2,3.1,8,,,,,,,,,,,,,FALSE,FALSE,TRUE,,750e913bf5e04mig
2025-10-16,10.25,2,2,12,,,,75,55,4,1,,4,,,,FALSE,FALSE,FALSE,,9bc2697d755c4mig
2025-10-17,8,2,2,10,,,,,,,,,,,,,FALSE,FALSE,FALSE,,9b6d7401d2d34mig
2025-10-18,7.15,1.8,2.2,8.25,,,,,,,,,,,,,FALSE,TRUE,FALSE,,cc54eb83440b4mig
2025-10-19,6,1.5,1.7,6.75,,,,,,,,,,,,,FALSE,FALSE,FALSE,,14f8a2acc8354mig
2025-10-20,5.25,1.25,1.5,6,,,,,,,,,,,,,FALSE,FALSE,FALSE,,44b75fda259b4mig
2025-10-21,7.2,1.75,1.4,8.8,,,,55,55,3,0.5,,4,,,,FALSE,FALSE,FALSE,,2aef400e7b804mig
2025-10-22,7,2,4.05,7,,,,,,,,,,,,,FALSE,FALSE,FALSE,,30bc73205bba4mig
2025-10-23,8.5,4,4,13,,,,110,77,6,1.5,,7,,,,FALSE,FALSE,FALSE,,00e219e746c04mig
2025-10-24,7.25,4,3.25,12,,,,,,,,,,,,,FALSE,FALSE,FALSE,,a85d7847635c4mig
2025-10-25,6,3.5,3,8,,,,,,,,,,2,,,FALSE,TRUE,TRUE,,7de97563f2d14mig
2025-10-26,4.75,1.75,2,6.75,,,,,,,,,,,,,FALSE,FALSE,FALSE,,7ee7c0437e574mig
2025-10-27,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,f2add10d20fa4mig
2025-10-28,8,1.5,3.3,8,,,,,,4.8,1,,4,,,,FALSE,FALSE,FALSE,,5460a0a5571e4mig
2025-10-29,6,2.5,3.25,7,,,,,,,,,,,,,FALSE,FALSE,FALSE,,4927ef43a77a4mig
2025-10-30,11,2.75,2.5,10,,,,105,66,6,1,,6,,,,FALSE,FALSE,FALSE,,9ea764ffe4de4mig
2025-10-31,9.25,2,2.5,7.25,,,,,,,,,,,0.1,,FALSE,FALSE,FALSE,,79074a6663df4mig
2025-11-01,7.5,1,3,5.5,,,,,,,,,,,,,FALSE,TRUE,FALSE,,3dd2fe07522c4mig
2025-11-02,6.35,0.75,2.5,4,,,,,,,,,,,,,FALSE,FALSE,TRUE,,be7b9858574a4mig
2025-11-03,5.75,0.75,2.75,3.25,,,,,,,,,,,,,FALSE,FALSE,FALSE,,64efc71241bd4mig
2025-11-04,8,1.5,2.25,7,,,,55,55,,,,,,,,FALSE,FALSE,FALSE,,4d1dc5b7dfec4mig
2025-11-05,7,0.5,2,5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,04216bfe3d4c4mig
2025-11-06,8.8,1.25,3.25,7.2,,,,107,77,6,1,,5,2,,,FALSE,FALSE,FALSE,,44b02ebe55cd4mig
2025-11-07,7.25,1.5,3,4.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,69a5d7e158204mig
2025-11-08,6.5,1.1,2.25,8,,,,,,,,,,,,,FALSE,TRUE,FALSE,,a5ed15c3867a4mig
2025-11-09,5.5,0.85,1.5,6.3,,,,,,,,,,,,,FALSE,FALSE,FALSE,,b3f6545929c84mig
2025-11-10,5,5,4.25,5,,,,,,,,,,,,,FALSE,FALSE,TRUE,,a5de9ac7d3b54mig
2025-11-11,7.5,1.5,3.5,10,,,,55,77,3,0.25,,5.75,,,,FALSE,FALSE,FALSE,,41b6229346ed4mig
2025-11-12,7.5,1.5,3.25,8,,,,,,,,,,,,,FALSE,FALSE,FALSE,,cf0422bb8db14mig
2025-11-13,11,1.25,3,10.2,,,,90,,,,,,,,,FALSE,FALSE,FALSE,,a117677d51d54mig
2025-11-14,7,1.25,2.5,7.25,,,,,,,,,,,,,FALSE,FALSE,FALSE,,2ad53f0737914mig
2025-11-15,5.75,0.75,2.5,4.25,,,,,,,,,,,,,FALSE,FALSE,FALSE,,534786fe111a4mig
2025-11-16,5.25,0.75,2.1,3.15,,,,,,,,,,,,,FALSE,FALSE,FALSE,,123506e7656b4mig
2025-11-17,5.25,0.75,2,2.25,,,,,,,,,,,,,FALSE,TRUE,FALSE,,da17fa738b2b4mig
2025-11-18,7,0.75,1.5,6.25,,,,55,88,,,3,,,,,FALSE,FALSE,FALSE,,3f82f3754ab04mig
2025-11-19,5.8,0.25,4,5.2,,,,,,,,,,,,,FALSE,FALSE,FALSE,,17fa651b0d414mig
2025-11-20,9.25,0.25,4,6.75,,,,80,44,3.75,1,,3.5,1,,,FALSE,FALSE,FALSE,,316c419a3ec94mig
2025-11-21,6.75,1.1,4,5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,b76939f33cec4mig
2025-11-22,5,1,3.5,2.15,,,,,,,,,,,,,FALSE,FALSE,TRUE,,4eef0c18e30d4mig
2025-11-23,2,1,2,5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,124f7f0adbb94mig
2025-11-24,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,944f4aedfeb24mig
2025-11-25,5,1.5,2,7.5,,,,55,77,3,0.75,,5,,,,FALSE,FALSE,FALSE,,95492eac50e14mig
2025-11-26,3,1.1,1.5,7,,,,,,,,,,,,,FALSE,TRUE,FALSE,,c38042cb3c624mig
2025-11-27,7,2,4,9,,,,80,77,4.9,1,3,5,,,,FALSE,FALSE,FALSE,,2c0990d82e564mig
2025-11-28,5.5,1.25,4,7.25,,,,,,,,,,,,,FALSE,FALSE,FALSE,,948a4a1c102f4mig
2025-11-29,2.1,1.15,3.75,8.15,,,,,,,,,4,,,,FALSE,FALSE,FALSE,,70235d94ea2c4mig
2025-11-30,1.1,1,3.2,5.25,,,,,,,,,,,,,FALSE,FALSE,FALSE,,22f1a876f6424mig
2025-12-01,1,1,3.5,4.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,5b3d9a84cee74mig
2025-12-02,4.5,1.5,2.5,8,,,,77,57,3.25,1,,3.5,,,,FALSE,FALSE,TRUE,,43a71afa9ccd4mig
2025-12-03,3.15,1,2,6.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,12dd6a7aa4834mig
2025-12-04,6.25,2,1.5,8,,,,,,4,1,,2.5,,,,FALSE,FALSE,FALSE,,61f833036ee94mig
2025-12-05,5,2,4,8.5,,,,,55,,,3,4,,,,FALSE,FALSE,FALSE,,a54a6aaf6f994mig
2025-12-06,4,1.2,3.5,7.25,,,,,,,,,,,,,FALSE,FALSE,FALSE,,7a08bfbe3e784mig
2025-12-07,2.4,1,3,6,,,,,,,,,,,,,FALSE,FALSE,FALSE,,25f0069de3964mig
2025-12-08,2,1,1.5,4.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,03627a7501194mig
2025-12-09,4,2,4.5,5.75,,,,75,62,3.25,1,4,4,,,,FALSE,FALSE,FALSE,,360e0c60b2b54mig
2025-12-10,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,830e731dad3c4mig
2025-12-11,7,3.5,4.25,10,,,,85,89,3.8,1.1,,5.25,,,,FALSE,TRUE,TRUE,,9381411c201a4mig
2025-12-12,5.5,2.25,4,8.1,,,,,,,,,,,,,FALSE,FALSE,FALSE,,ea89f597465b4mig
2025-12-13,4.25,2.25,4,6,,,,,,,,,,,,,FALSE,FALSE,FALSE,,013c3379efd34mig
2025-12-14,3.7,2.15,4,3.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,45591d09d4744mig
