date,eod_sammy,eod_og,eod_grilled,eod_tenders,eod_thaw,eod_boxed,del_dark,del_tenders,prep_sammy,prep_og,prep_grilled,prep_tenders,waste_sammy,waste_og,waste_grilled,waste_tenders,oil_fries,oil_left,oil_right,logged_by,id
2025-08-15,5,3.25,1.25,11.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,ca79c17b12974mig
2025-08-16,3.5,3,1,9,,,,,,,,,,,,,FALSE,FALSE,FALSE,,8ef07e76e01f4mig
2025-08-17,2.25,2.5,4,6.75,,,,,,,,,,,,,FALSE,FALSE,FALSE,,ee0da29b215c4mig
2025-08-18,1.75,3,3.33,6,,,,,,,,,,,,,FALSE,FALSE,FALSE,,fe3e73f16ffb4mig
2025-08-19,6.5,4,3,5,,,130,88,6,2,,,,,,,FALSE,FALSE,FALSE,,d7411e382fea4mig
2025-08-20,6,4,1.1,8.25,,,,,,,,,,,,,TRUE,FALSE,FALSE,,b785e1b5d9844mig
2025-08-21,7.5,5,2,13.5,,,80,99,2.75,2,,10.5,,,,,FALSE,TRUE,FALSE,,37ba2bb22c234mig
2025-08-22,4.5,5.25,1,11.25,,,,,,,,,,,,,FALSE,FALSE,TRUE,,b45c6603bee54mig
2025-08-23,4,5,0.25,10,,,,,,,,,,,,,FALSE,FALSE,FALSE,,e4d9638a0cc84mig
2025-08-24,3,3.5,3.25,8.75,,,,,,,3,,,,,,FALSE,FALSE,FALSE,,49862c913ffe4mig
2025-08-25,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,21e11b5bc3554mig
2025-08-26,5,3.5,2.1,10,,,80,60,4,1,,4,,,,,FALSE,FALSE,FALSE,,97047f1c16df4mig
2025-08-27,4,3.25,1.8,9,,,,,,,,,,,,,TRUE,FALSE,FALSE,,6af7989d40944mig
2025-08-28,10,2.5,1.25,14,,,120,99,6,1,,6,,,,,FALSE,FALSE,FALSE,,9f781585c7614mig
2025-08-29,9,1.5,5,12,,,,,,,,,,,,,FALSE,FALSE,FALSE,,1a68582a52d64mig
2025-08-30,6,1,4.5,11,,,,,,,,,,,,,FALSE,TRUE,FALSE,,b47e7ca79fbf4mig
2025-08-31,5.25,0.5,4.5,8,,,,,,,,,,,,,FALSE,FALSE,TRUE,,61dcd588340b4mig
2025-09-01,4,0.5,4,7,,,,,,,,,,,,,FALSE,FALSE,FALSE,,741edd834e334mig
2025-09-02,7,1.25,5,10.15,,,75,55,3.5,0.8,,3.8,,,,,FALSE,FALSE,FALSE,,d6b302a17fe44mig
2025-09-03,6.5,1.25,3,10,,,,,,,,,,,,,TRUE,FALSE,FALSE,,cde59afd6b044mig
2025-09-04,,,,,,,119,55,5,2,,4,,,,,FALSE,FALSE,FALSE,,60f920e7a8264mig
2025-09-05,8.5,2.5,2.5,13,,,,,,,,,,,,,FALSE,FALSE,FALSE,,a1fd79d0d63b4mig
2025-09-06,6.5,2.25,1.75,11.25,,,,,,,,,0.35,,,,FALSE,FALSE,FALSE,,e2d024b8e35e4mig
2025-09-07,5.75,2,1.25,9.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,443e9dc0fe864mig
2025-09-08,3.75,1.75,1.05,9,,,,,,,,,,,,,FALSE,TRUE,FALSE,,7b08107149dc4mig
2025-09-09,,,,,,,,,2,0.2,,,,,,,FALSE,FALSE,TRUE,,8f36543ae5644mig
2025-09-10,4,1.5,4.25,5.25,,,,,,,4,,,,,,FALSE,FALSE,FALSE,,e624472c623b4mig
2025-09-11,9,2.5,4.05,11,,,,,6,1,,7,,,,,TRUE,FALSE,FALSE,,af658cf328f94mig
2025-09-12,7.25,1.5,3,9,,,,,,,,,,,,,FALSE,FALSE,FALSE,,3b961de33fcb4mig
